annot_transcript_id	k562_1_chr20	k562_2_chr20
ENST00000374443.7	8	3
ENST00000447927.6	13	5
ENST00000374450.7	292	112
ENST00000472559.5	0	0
ENST00000374380.6	1	0
ENST00000374385.9	37	20
ENST00000496812.5	0	0
ENST00000424405.5	2	1
ENST00000491125.5	0	0
ENST00000374369.7	0	0
ENST00000397524.5	0	2
ENST00000348547.6	235	104
ENST00000447986.5	0	0
ENST00000486268.5	0	0
ENST00000416206.5	0	0
ENST00000411577.5	1	0
ENST00000488384.1	0	0
ENST00000616283.4	0	0
ENST00000498203.1	0	0
ENST00000352393.8	0	0
ENST00000462352.5	2	2
ENST00000397443.6	10	9
ENST00000483359.5	0	0
ENST00000397442.5	0	0
ENST00000374114.7	12	3
ENST00000374104.7	2	0
ENST00000435161.1	2	0
ENST00000374092.8	28	20
ENST00000374085.5	0	0
ENST00000480655.5	0	0
ENST00000397425.5	3	3
ENST00000306750.3	0	0
ENST00000374078.5	93	33
ENST00000374077.7	198	82
ENST00000374072.5	1	0
ENST00000397416.1	0	0
ENST00000336695.4	66	28
ENST00000463004.5	0	0
ENST00000461283.5	0	0
ENST00000253363.10	33	12
ENST00000361162.10	17	8
ENST00000338163.10	0	0
ENST00000403542.6	2	0
ENST00000528062.7	3	0
ENST00000495293.5	1	1
ENST00000444878.5	3	0
ENST00000492779.5	1	1
ENST00000496183.5	0	0
ENST00000490354.5	0	0
ENST00000465158.5	0	0
ENST00000453310.5	0	0
ENST00000416529.5	0	0
ENST00000397370.3	0	0
ENST00000463098.5	0	1
ENST00000461849.1	0	0
ENST00000374012.7	0	0
ENST00000374000.8	0	0
ENST00000617560.1	22	3
ENST00000305978.6	37	19
ENST00000614708.1	2	0
ENST00000565493.1	25	15
ENST00000320849.8	34	18
ENST00000373932.3	3	0
ENST00000475894.5	3	2
ENST00000340491.8	1	3
ENST00000279022.6	0	0
ENST00000346786.2	0	1
ENST00000373874.6	2	0
ENST00000373872.8	6	1
ENST00000558028.5	0	0
ENST00000558530.1	0	0
ENST00000344795.7	191	103
ENST00000492721.5	1	0
ENST00000483815.5	7	3
ENST00000373852.9	0	0
ENST00000342422.3	2	2
ENST00000494506.1	0	0
ENST00000373803.6	0	0
ENST00000349004.5	5	3
ENST00000426836.5	2	2
ENST00000373740.7	0	0
ENST00000448110.6	7	0
ENST00000480153.5	0	0
ENST00000373750.8	19	15
ENST00000373734.8	1	1
ENST00000217320.7	0	0
ENST00000646673.1	7	8
ENST00000262878.5	0	0
ENST00000373664.7	2	1
ENST00000344359.7	0	0
ENST00000421643.1	0	0
ENST00000237530.10	575	378
ENST00000470352.1	0	0
ENST00000373606.7	1	2
ENST00000397152.7	1	1
ENST00000373605.7	1	0
ENST00000373578.6	0	0
ENST00000467603.1	0	0
ENST00000649668.1	26	10
ENST00000414542.6	0	0
ENST00000361383.10	46	36
ENST00000373469.1	0	1
ENST00000472237.5	1	0
ENST00000373447.7	7	6
ENST00000449821.1	4	1
ENST00000373433.8	4	8
ENST00000361475.6	5	4
ENST00000469269.1	0	0
ENST00000468262.5	11	7
ENST00000217407.2	0	0
ENST00000436764.5	0	0
ENST00000417578.5	0	0
ENST00000453698.5	0	0
ENST00000400436.6	0	0
ENST00000483342.5	1	1
ENST00000421599.5	1	0
ENST00000420006.5	0	0
ENST00000359074.8	3	2
ENST00000432153.5	1	0
ENST00000434729.5	1	0
ENST00000442419.1	1	1
ENST00000444816.1	0	0
ENST00000262879.10	0	0
ENST00000461147.1	0	0
ENST00000243903.5	19	19
ENST00000619304.4	21	11
ENST00000570096.1	0	1
ENST00000252011.7	3	2
ENST00000615559.1	0	0
ENST00000373313.2	0	0
ENST00000361337.2	1	0
ENST00000244007.7	0	0
